JUGADOR: jugador            
Ganador: jugador   
Puntaje de jugador: 12
Puntaje de Maquina: 6
Listado de turnos:
Turno: 104	Carta Jugada: Repite 	Jugador: jugador            
Turno: 105	Carta Jugada: Espejo 	Jugador: jugador            
Turno: 105	Carta Jugada: -2     	Jugador: Maquina            
Turno: 106	Carta Jugada: Repite 	Jugador: jugador            
Turno: 106	Carta Jugada: -1     	Jugador: jugador            
Turno: 107	Carta Jugada: -1     	Jugador: Maquina            
Turno: 107	Carta Jugada: Espejo 	Jugador: jugador            
Turno: 108	Carta Jugada: +1     	Jugador: Maquina            
Turno: 108	Carta Jugada: -1     	Jugador: jugador            
Turno: 109	Carta Jugada: -2     	Jugador: Maquina            
Turno: 109	Carta Jugada: +1     	Jugador: jugador            
Turno: 110	Carta Jugada: +2     	Jugador: Maquina            
Turno: 110	Carta Jugada: +2     	Jugador: jugador            
Turno: 111	Carta Jugada: +1     	Jugador: Maquina            
Turno: 111	Carta Jugada: +1     	Jugador: jugador            
Turno: 112	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 112	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 113	Carta Jugada: +2     	Jugador: jugador            
Turno: 113	Carta Jugada: +1     	Jugador: Maquina            
Turno: 114	Carta Jugada: +2     	Jugador: jugador            
Turno: 114	Carta Jugada: -1     	Jugador: Maquina            
Turno: 115	Carta Jugada: -1     	Jugador: jugador            
Turno: 115	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 116	Carta Jugada: +1     	Jugador: Maquina            
Turno: 116	Carta Jugada: -1     	Jugador: jugador            
Turno: 117	Carta Jugada: +1     	Jugador: Maquina            
Turno: 117	Carta Jugada: +1     	Jugador: jugador            
Turno: 118	Carta Jugada: -1     	Jugador: Maquina            
Turno: 118	Carta Jugada: -2     	Jugador: jugador            
Turno: 119	Carta Jugada: -1     	Jugador: Maquina            
Turno: 119	Carta Jugada: Espejo 	Jugador: jugador            
Turno: 120	Carta Jugada: +1     	Jugador: Maquina            
Turno: 120	Carta Jugada: +2     	Jugador: jugador            
Turno: 121	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 121	Carta Jugada: +2     	Jugador: Maquina            
Turno: 122	Carta Jugada: Repite 	Jugador: jugador            
Turno: 122	Carta Jugada: Espejo 	Jugador: jugador            
Turno: 123	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 123	Carta Jugada: +2     	Jugador: Maquina            
Turno: 124	Carta Jugada: -1     	Jugador: jugador            
Turno: 124	Carta Jugada: +1     	Jugador: Maquina            
Turno: 125	Carta Jugada: Repite 	Jugador: jugador            
Turno: 125	Carta Jugada: -1     	Jugador: jugador            
Turno: 126	Carta Jugada: +2     	Jugador: Maquina            
Turno: 126	Carta Jugada: -2     	Jugador: jugador            
Turno: 127	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 127	Carta Jugada: -1     	Jugador: Maquina            
Turno: 128	Carta Jugada: -1     	Jugador: jugador            
Turno: 128	Carta Jugada: +1     	Jugador: Maquina            
Turno: 129	Carta Jugada: +1     	Jugador: jugador            
Turno: 129	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 130	Carta Jugada: +1     	Jugador: Maquina            
Turno: 130	Carta Jugada: -2     	Jugador: jugador            
Turno: 131	Carta Jugada: +1     	Jugador: Maquina            
Turno: 131	Carta Jugada: -2     	Jugador: jugador            
Turno: 132	Carta Jugada: +2     	Jugador: Maquina            
Turno: 132	Carta Jugada: +1     	Jugador: jugador            
