JUGADOR: a                  
Ganador: Maquina   
Puntaje de a: 7
Puntaje de Maquina: 12
Listado de turnos:
Turno: 080	Carta Jugada: +1     	Jugador: Maquina            
Turno: 081	Carta Jugada: -2     	Jugador: a                  
Turno: 081	Carta Jugada: +1     	Jugador: Maquina            
Turno: 082	Carta Jugada: -1     	Jugador: a                  
Turno: 082	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 083	Carta Jugada: -1     	Jugador: a                  
Turno: 083	Carta Jugada: +2     	Jugador: Maquina            
Turno: 084	Carta Jugada: +2     	Jugador: a                  
Turno: 084	Carta Jugada: +1     	Jugador: Maquina            
Turno: 085	Carta Jugada: +2     	Jugador: a                  
Turno: 085	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 086	Carta Jugada: Espejo 	Jugador: Maquina            
Turno: 086	Carta Jugada: Repite 	Jugador: a                  
Turno: 087	Carta Jugada: Repite 	Jugador: a                  
Turno: 087	Carta Jugada: +1     	Jugador: a                  
Turno: 088	Carta Jugada: +2     	Jugador: Maquina            
Turno: 088	Carta Jugada: -1     	Jugador: a                  
Turno: 089	Carta Jugada: -2     	Jugador: Maquina            
Turno: 089	Carta Jugada: Repite 	Jugador: a                  
Turno: 090	Carta Jugada: -2     	Jugador: a                  
Turno: 090	Carta Jugada: -1     	Jugador: Maquina            
Turno: 091	Carta Jugada: -1     	Jugador: a                  
Turno: 091	Carta Jugada: +1     	Jugador: Maquina            
Turno: 092	Carta Jugada: +2     	Jugador: a                  
Turno: 092	Carta Jugada: -1     	Jugador: Maquina            
Turno: 093	Carta Jugada: -1     	Jugador: a                  
Turno: 093	Carta Jugada: +1     	Jugador: Maquina            
Turno: 094	Carta Jugada: Repite 	Jugador: a                  
Turno: 094	Carta Jugada: Espejo 	Jugador: a                  
Turno: 095	Carta Jugada: +1     	Jugador: Maquina            
Turno: 095	Carta Jugada: -1     	Jugador: a                  
Turno: 096	Carta Jugada: +1     	Jugador: Maquina            
Turno: 096	Carta Jugada: +1     	Jugador: a                  
Turno: 097	Carta Jugada: -2     	Jugador: Maquina            
Turno: 097	Carta Jugada: -1     	Jugador: a                  
Turno: 098	Carta Jugada: +2     	Jugador: Maquina            
Turno: 098	Carta Jugada: +1     	Jugador: a                  
Turno: 099	Carta Jugada: -2     	Jugador: Maquina            
Turno: 099	Carta Jugada: Repite 	Jugador: a                  
Turno: 100	Carta Jugada: +1     	Jugador: a                  
Turno: 100	Carta Jugada: -2     	Jugador: Maquina            
Turno: 101	Carta Jugada: Repite 	Jugador: a                  
Turno: 101	Carta Jugada: +1     	Jugador: a                  
Turno: 102	Carta Jugada: Repite 	Jugador: Maquina            
Turno: 102	Carta Jugada: +2     	Jugador: Maquina            
